,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
DRY_FY_N_03,-1.347817277,-34.00370429,-3.826522051,-1.763383363,-2.349225908,-0.008496524,-0.025693637,-0.077421705,-0.013589828,-0.034455668,0.01220401,0.051794395,-0.007679958,-0.00579514,0.371464242,0.885399251,-3.114849996,-0.935302375,-0.668825027,-0.147339647,0.223920074,0.068817049,-0.044333427,0.076580704,0.584906475,-0.2576446,-0.482956417,2.131096542,-4.70276472,-0.623162032
MAL_FY_N_01,-1.265815745,-30.1556176,-3.367053668,-1.58290201,-2.137053537,-0.08235549,-0.118011529,-0.180985662,0.090421498,-0.086146251,0.1249251,-0.169176044,-0.003603164,0.36826724,-0.327635151,-0.817463557,4.099273902,0.872862419,0.403114688,0.262691499,0.477342117,-0.042638939,0.323577422,0.753841596,-0.205972932,0.527482537,-1.087549958,-0.016177066,-6.674004149,-2.67717158
MAL_FY_N_02,-1.367136839,-35.62560858,-3.826227403,-1.926343415,-2.108922893,-0.136366751,-0.076578491,-0.025139586,0.015871844,0.041528571,-0.032324554,0.138494943,0.105104688,0.15201976,0.193903498,0.824679794,-2.931793936,-0.90288804,-0.560798658,-0.387351481,0.013014147,-0.115326669,0.082979832,-0.110335042,-0.313221825,0.589077225,0.222415221,-0.177957438,0.228165122,-0.50051406
MAL_FY_N_03,-1.494380903,-34.96783798,-3.859294905,-1.947714676,-2.386174462,-0.167162353,0.039265105,-0.112273735,-0.005567392,0.041632341,-0.091467388,0.065484582,-0.09187864,0.009316706,0.018044238,0.533352456,-1.956590579,-0.655537951,-0.165940685,-0.29229788,0.073401368,0.177842002,0.418002191,-0.138730329,-0.312037064,0.33593809,0.126742319,0.424958678,-0.582722407,-0.55740574
TES_FY_N_01,-0.890081831,-26.3610823,-2.921342631,-1.33029715,-1.509314218,-0.188493963,-0.008308547,0.083999435,0.034074789,-0.133808132,0.109174429,0.141665881,0.500843024,0.643971282,-1.538655977,-5.078538985,16.54366209,3.95962202,2.228910998,1.626366311,0.44474793,0.805750125,-0.412514539,-0.299857557,-0.103389788,-0.742033806,0.383916482,0.138503674,1.658980262,0.513484144
TES_FY_N_02,-1.42658019,-30.6876692,-3.32546617,-1.723083671,-2.106423813,-0.14195226,-0.16514322,-0.196122689,0.002354445,-0.016233412,0.171771391,-0.260182781,0.040265695,-0.29132933,0.044375409,0.404079951,-1.729423171,0.010244524,0.43516559,-0.069536882,-0.917089137,-0.560674214,-0.572888706,-0.461552687,-0.241179041,0.235519787,0.580741312,-3.817829605,10.21866659,2.310876885
TES_FY_N_03,-1.354835996,-32.90348198,-3.747195506,-1.842761245,-2.251044474,-0.216739728,0.068284679,-0.192851949,-0.138955557,0.159348687,-0.06635309,-0.070861277,-0.04834815,-0.505847489,0.316424361,0.791892356,-2.453450251,-0.452888547,-0.217884179,-0.26173421,-0.285918543,-0.153491918,-0.010467997,-0.378214694,-0.687749597,0.448220171,0.589935146,-2.361425312,6.236179433,1.892290302
SLV_FY_O_01,-0.169733641,-4.528942722,1.110703103,0.478248861,28.64152415,-1.588464639,0.123541193,-0.395960667,0.058427827,0.014371189,0.043795423,-0.042172971,-0.031067704,-0.01878601,0.031184031,0.001264503,-0.120657636,0.013169295,0.022367999,-0.012923986,0.010790822,0.043715112,0.027990215,0.039015947,-0.049059777,0.028960427,-0.044486147,-0.091674361,0.173473458,-0.051749362
SLV_FY_O_02,-0.2061789,-4.691235893,1.173355018,0.495530547,29.43124505,-1.638833808,0.093109426,-0.400337797,-0.029621361,0.031607179,0.083083657,0.069060963,-0.039734144,-0.066972154,-0.002842288,0.044768896,-0.028114122,-0.069428048,-0.11554662,0.01983466,-0.021790471,-0.064831464,-0.034683384,0.012581479,0.05689274,-0.087147566,0.024814204,0.054149343,-0.071667789,0.048215004
SLV_FY_O_03,-0.217303777,-4.634143289,1.086101122,0.476429858,29.35340005,-1.620794126,0.102790322,-0.411080317,0.008738772,0.018427372,0.064415914,0.029773482,-0.033768988,-0.05207465,0.053458262,0.036748733,-0.06260035,0.024225724,-0.060553896,-0.05785627,-0.025825269,-0.00111154,0.045292468,-0.011478322,-0.062862786,0.078298521,-0.054105967,0.045673513,-0.169094622,-0.021959701
ABQ_FY_S_01,20.33580833,3.940348574,-1.728934648,-3.268149815,-1.15177433,-5.778151751,1.950339194,-0.23551593,-0.253946577,-0.632663788,-0.627414513,0.881774876,-5.159667322,0.107269178,0.010522169,0.169057004,0.536844285,-2.065213951,1.058022449,0.192952297,-0.738234413,-0.667046831,-0.053755328,0.829335134,0.215286386,0.075466762,-0.587064081,0.110830632,0.483315318,-0.345241036
